Tên Sản Phẩm,Thông tin,Giá Bán,Giá Gốc,GPU,RAM,Loại RAM,Số khe RAM,Bộ Nhớ,Kích Thước,Màn Hình,Dung Lượng Pin,Hệ Điều Hành,Độ Phân Giải,CPU,Cổng Giao Tiếp,Chip AI,Độ Dày,Trọng Lượng,Hãng Sản Xuất
MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam,,31990000.0,37990000.0,GPU 10 lõi,16GB,,,512GB SSD,15.3 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,11.3,1.24,Apple
Apple Mac Studio M3 Ultra 2025 28CPU 60GPU 96GB 1TB | Chính hãng Apple Việt Nam,,115990000.0,,GPU 60 lõiNeural Engine 32 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 819GB/s,96GB,,,1TB,,Hỗ trợ đồng thời lên đến tám màn hình,,macOS,,CPU 28 lõi với 20 lõi hiệu năng và 8 lõi tiết kiệm điện,"4x Thunderbolt 5 (USB‑C) hỗ trợ: Thunderbolt 5 (120Gb/s) / USB 4 (120Gb/s) /USB 3 (10Gb/s) / DisplayPort 2.1 2x USB 3 (USB‑A) (5Gb/s) Cổng HDMI 2.1 Ethernet 10Gb Jack cắm tai nghe 3.5 mm Mặt trước: 2x Thunderbolt 5 (120Gb/s), Khe thẻ n",,95.0,2.7,Apple
Laptop Gaming Acer Nitro V ANV15-51-75GS,I7-13620H/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN,28990000.0,29990000.0,NVIDIA GeForce RTX 4050 6GB GDDR6 VRAM,16GB,DDR5 5200 MHz,"2 khe (8 GB + 8 GB), Hỗ trợ nâng cấp tối đa 64GB","512GB PCIe NVMe SSD (nâng cấp tối đa 2TB Gen4, 16 Gb/s, NVMe)",15.6 inches,Acer ComfyView LED-backlit TFT LCD,"4 cell, 57Wh",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)",1x USB Type-C  3x USB-A 2x USB 3.2 Gen 1 1x HDMI 2.1  1x 3.5 mm headphone/speaker jack,,19.5,1.7,Acer
Laptop HP Pavilion 15-EG3095TU 8C5L6PA V2,I5-1335U/16GB+16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,17590000.0,19990000.0,Intel Iris Xe Graphics,32GB,DDR4 3200 MHz,"2 khe (Máy nguyên bản 16GB, được tặng 16GB, nâng cấp tối đa 32GB)",512 GB SSD NVMe PCIe,15.6 inches,Độ phủ màu 45% NTSC  Màn hình chống chói  Độ sáng 250 nits,"3-cell Li-ion, 41 Wh",Windows 11 Home SL,1920 x 1080 pixels (FullHD),"Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)","1x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)1x Jack tai nghe 3.5 mm 2x USB 3.2 1x HDMI",,17.9,1.75,HP
Laptop ASUS ExpertBook B1 B1502CVA-NJ0101W,I3-1315U/8GB/256GB PCIE/15.6 FHD/WIN11/ĐEN,9990000.0,11990000.0,Intel UHD Graphics,8GB,DDR4 Onboard,,256GB M.2 2280 NVMe PCIe 4.0 SSD,15.6 inches,Độ sáng 250 nits  Độ phủ màu NTSC: 45% Màn hình chống chóiTỷ lệ tương phản 500:1Góc nhìn: 90/65 Thời gian phản hồi:  20/10 ms 16:9,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i3-1315U (1.2 GHz, 10M Cache, up to 4.5 GHz, 6 lõi)",1x USB 2.0 Loại A 1x USB 3.2 Gen 1 Loại A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 2 Type-C h 1x HDMI 1.4 1x Giắc âm thanh 1x RJ45 Gigabit Ethernet,,18.0,1.5,ASUS
Laptop Dell Latitude 3540 71038100,I5-1235U/16GB/512GB PCIE/15.6 FHD/WIN11/XÁM,16290000.0,18990000.0,Intel Iris Xe Graphics,16GB,DDR4 3200 MT/s,2 x 8GB (Hỗ trợ nâng cấp tối đa 64GB),"512GB, M.2 2230, QLC PCIe Gen 4 NVMe (1 thanh ổ cứng, hỗ trợ nâng cấp, tối đa 1TB)",15.6 inches,Màn hình chống chóiĐộ sáng 250 nit Độ phủ màu NTSC 45%,"3 cell, 42 Wh, có khả năng sạc nhanh","Windows 11 Home, Single Language English",1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (12 MB cache, 10 lõi, 12 luồng, up to 4.40 GHz Turbo)",1x  RJ 45 Flip-down 10/100/1000 Mbps 1x USB 3.2 Gen 2 Type-C (Sạc / DisplayPort Alt) 1x USB 3.2 Gen 1 với PowerShare 2x USB 3.2 Gen 1 1x Cổng âm thanh đa năng 1x HDMI 1.4 1x Khe cắm thẻ microSIM 1x Khe khóa hình nêm,,17.9,1.7,Dell
Laptop Lenovo LOQ 15IRX9 83DV00UGVN,I7-13650HX/24GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/XÁM,29990000.0,32990000.0,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W, 194 AI TOPS",24GB,DDR5-4800,2x 12GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 32GB DDR5-4800),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 100% sRGB G-SYNC,"60Wh, 170W Slim Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với Lenovo PD 140W và DisplayPort 1.4 1x HDMI 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Đầu nối nguồn",,22.7,2.4,Lenovo
Laptop Dell Inspiron 15 3530 N3530,I5-1334U/8GB + 8GB/512GB PCIE/15.6 FHD/WIN11 + OFFICE/BẠC,17490000.0,19290000.0,Intel Iris Xe Graphics,16GB,DDR4 2666MHz,"2 khe (2x 8GB, tối đa 16GB)",512GB M.2 2230 NVMe PCIe SSD,15.6 inches,Màn hình chống chói,"Pin liền, 3-Cell Battery, 41WHr",Windows 11 Home + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,1920 x 1080 pixels (FullHD),"Intel Core i5-1334U (12MB Cache, up to 4.6 GHz)",1x cổng HDMI 1.4 1x cổng USB 3.2 Gen 1 1x cổng USB 2.0 1x cổng USB 3.2 Gen 1 Type-C 1x cổng âm thanh phổ thông,,18.0,1.8,Dell
MacBook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,,77990000.0,89990000.0,30 nhânNeural Engine 16 nhân,36GB,,,1TB,16.2 inches,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hìnhĐộ sáng đỉnh 1600 nit (chỉ nội dung HDR)True ToneProMotion ,"Pin Li-Po 72,4 watt-giờ",macOS,3024 x 1964 pixels ,Apple M3 Max 14 nhân,Ba cổng Thunderbolt 4 (USB-C)Cổng HDMIKhe thẻ nhớ SDXCJack 3.5mm,,15.5,1.56,Apple
Laptop Dell Inspiron 15 3520 6R6NK V2 - Nhập khẩu chính hãng,I5-1235U/16GB/512GB PCIE/15.6 FHD/WIN11/ĐEN,13990000.0,14490000.0,Intel UHD Graphics,16GB,DDR4,2 khe (tối đa 16GB),512GB PCIE (1 Slot HDD Tối đa 1TB),15.6 inches,Độ sáng 250 nits Độ phủ màu NTSC 45%Màn hình chống chói,"3-cell, 41 Wh lithium-polymer",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (10 lõi / 12 luồng, 1.30 GHz to 4.40 GHz, 12 MB)",1x Đầu nối nguồn 1x HDMI 1.4 2x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe,,18.0,1.8,Dell
Laptop Lenovo LOQ 15IAX9 83GS001QVN,I5-12450HX/12GB/512GB PCIE/VGA 6G RTX4050/15.6 FHD 144HZ/WIN11/XÁM,23990000.0,26990000.0,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W",12GB,DDR5-4800,2 khe cắm DDR5 SO-DIMM (1x 12GB + 1 khe trống nâng cấp tối đa 32GB),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 100% sRGB  G-SYNC,60Wh,"Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"Intel Core i5-12450HX, 8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB","3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với Lenovo PD 140W, DisplayPort 1.4 1x HDMI 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Đầu nối nguồn",,22.7,2.4,Lenovo
Laptop Acer Gaming Aspire 7 A715-76G-73FM,i7-12650H/16GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/ĐEN,16490000.0,23990000.0,NVIDIA GeForce RTX 2050 4 GB GDDR6,16GB,DDR4 3200 MHz,"2 khe, nâng cấp tối đa 32GB (cắm sẵn 8GB)","512GB PCIe NVMe SSD (nâng cấp tối đa 1 TB SSD PCIe Gen4, 16 Gb/s, NVMe)",15.6 inches,Acer ComfyView,50 Wh 3-cell Li-ion battery,Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i7-12650H,"1x USB Type-C 3x USB 3.2 Gen 1 1x HDMI 2.0 với HDCP  1x DC-in jack for AC adapter 1x Ethernet (RJ-45) 1x Giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp",,22.9,2.2,Acer
Laptop ASUS Vivobook 14 X1404VA-NK394W,I3-1315U/8GB/512GB PCIE/14.0 FHD/WIN11/BẠC,10490000.0,12690000.0,Intel UHD Graphics,8GB,DDR4,"8GB On board (Có thể nâng cấp, cần tháo vỏ dưới/trên)",512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSC Màn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i3-1315U 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 lõi, 8 luồng)",1x USB 2.0 Type-A (data speed up to 480Mbps) 1x USB 3.2 Gen 1 Type-C (data speed up to 5Gbps) 2x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in,,17.7,1.7,ASUS
Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W,I7-12700H/16GB/512GB PCIE/14.0 2.8K OLED/WIN11/BẠC,18490000.0,20490000.0,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,Thời gain phản hồi 0.2msĐộ sáng 600nits HDR peak brightnessĐộ phủ màu 100% DCI-P3Gamut mappingHDR True Black 6001.07 tỷ màuSGS Eye Care DisplayGiảm 70% ánh sáng xanh có hại,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2880 x 1800 pixels,"Intel Core i7-12700H 2.3 GHz (24M Cache, up to 4.7 GHz, 6P+8E cores)",1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x Headphone out  1x DC-in,,17.7,1.7,ASUS
Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,U7-155H/32GB/1TB PCIE/14.0 3K OLED/WIN11/XANH/TÚI,31990000.0,34990000.0,Intel® Arc™ Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe™ PCIe® 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms  Độ sáng tối đa 600nits HDR Độ phủ màu 100% DCI-P3 Display HDR True Black 600 1.07 tỷ màu PANTONE Validated Glossy display Giảm ánh sáng xanh 70%,"75WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home,2880 x 1800 pixels,Intel® Core™ Ultra 7 155H,1x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 hỗ trợ hiển thị / sạc1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack,,13.9,1.4,ASUS
Laptop ASUS TUF Gaming A15 FA507NVR-LP091W,R7-7435HS/16GB/512GB PCIE/VGA 8GB RTX4060/15.6 FHD/WIN11/XÁM,26490000.0,30990000.0,NVIDIA GeForce RTX 4060 8GB GDDR6,16GB,DDR5-4800 SO-DIMM,2x SO-DIMM slots (Nâng cấp tối đa 32GB),512GB PCIe 4.0 NVMe M.2 SSD (Nâng cấp tối đa 2TB),15.6 inches,"Độ sáng 250nitsĐộ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35% Màn hình chống chóiG-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",1x RJ45 LAN  1x USB 3.2 Gen 2 Type-C  1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC  2x USB 3.2 Gen 1 Type-A  1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack Built-in array microphone,,24.5,2.3,ASUS
Laptop Dell Inspiron 15 3530 P16WD,I7-1355U/16GB/1TB PCIE/15.6 FHD 120HZ/WIN11 + OFFICE/BẠC,22490000.0,22990000.0,Intel Iris Xe Graphics,16GB,DDR4 2666Mhz,2 x 8GB DDR4,1TB SSD PCIe (M.2 2230) - combo M.2 2230/2280,15.6 inches,Màn hình chống chói,4 Cell Int (54Wh),Windows 11 Home Single Language 64-bit + Office Home & Student 2021,1920 x 1080 pixels (FullHD),Intel Core i7-1355U (10 lõi) - Max Turbo Freque,1 x USB 2.0 Type-A 1 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 1 Type-C SD-Card1 x Headphone,,18.0,1.8,Dell
Laptop HP Victus 16-S0136AX 9Q984PA,R5-7640HS/32GB/512GB PCIE/VGA 6GB RTX3050/16.1 FHD 144HZ/WIN11/BẠC,20490000.0,28990000.0,NVIDIA GeForce RTX 3050 (GDDR6 6 GB chuyên dụng),32GB,DDR5-5600 MT/s,2 khe (2 x 16GB),Ổ SSD 512 GB PCIe Gen4 NVMeTM TLC M.2,16.1 inches,Độ phủ màu 45% NTSCĐộ sáng 250 nitChống lóa,"4 cell, 70 Wh Li-ion polime Bộ chuyển đổi nguồn điện AC thông minh 200 WHỗ trợ sạc pin nhanh: khoảng 50% trong 30 phútThời lượng pin Lên đến 7 tiếng 45 phút",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7640HS (tốc độ xung nhịp tăng tối đa lên đến 5,0 GHz, bộ nhớ đệm L3 16 MB, 6 lõi,12 luồng)","1x USB Type-A (HP Sleep and Charge) 1x USB Type-C (USB Power Delivery, DisplayPort 1.4a, HP Sleep and Charge) 2x USB Type-A 1x cổng HDMI 2.1 1x RJ-45 1x bộ chuyển đổi điện xoay chiều thông minh 1x cổng kết hợp tai nghe/micrô",,23.5,2.3,HP
Laptop Lenovo Gaming Legion 5 Pro 16IRX9 83DF0047VN,I9-14900HX/32GB/1TB PCIE/VGA 8GB RTX4060/16.0 WQXGA 240HZ/WIN11/XÁM,44990000.0,49990000.0,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W",32GB,DDR5-5600,2 khe DDR5 SO-DIMM dual-channel (nâng cấp tối đa 32GB DDR5-5600),1TB SSD M.2 2280 PCIe 4.0x4 NVMe,16 inches,Độ sáng 500 inits  Độ phủ màu 100.00% DCI-P3  DisplayHDR 400  Dolby Vision  G-Sync  Giảm ánh sáng xanhMàn hình chống chói,80Wh,Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core i9-14900HX, 24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB","1x USB-A luôn bật  3x USB-A   2x USB-C (PD 140W / DisplayPort 1.4) 1x HDMI 2.1, tối đa 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",,25.9,2.5,Lenovo
Laptop ASUS Vivobook S 14 OLED M5406WA-PP071WS,Ryzen 9 AI HX-370/32GB/1TB PCIE/14.0 3K OLED/WIN11 + OFFICE/BẠC,30990000.0,33990000.0,AMD Radeon 890M Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD (1x M.2 2280 PCIe 3.0x4),14 inches,Độ sáng tối đa HDR 600nits Độ phủ màu DCI-P3 100% 1.000.000:1 Màn hình HDR True Black 600 ĐÃ CHỨNG NHẬN VESA 1.07 tỷ màu Được PANTONE xác thực Màn hình bóng Giảm 65% ánh sáng xanh có hại,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + OFFICE,2880 x 1800 pixels,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng)",1x USB 3.2 Gen 1 Type-C (Display / Sạc) 2x USB 3.2 Gen 1 Type-A 1x USB 4.0 Gen 3 Type-C (Display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack Micro SD card reader,AMD XDNA NPU up to 50TOPS,14.9,1.6,ASUS
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA001NVN,U5-125H/16GB/512GB PCIE/14.0 WUXGA OLED/WIN11/XÁM,21090000.0,21990000.0,Intel Arc Graphics,16GB,LPDDR5x-7467 Onboard,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hỗ trợ nâng cấp lên đến 1TB M.2 2242 SSD),14 inches,Độ sáng 400nits  Độ phủ màu 100% DCI-P3 DisplayHDR True Black 500,57Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core Ultra 5 125H (14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.5GHz, 18MB)","1x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1) luôn bật 2x USB-C (USB 5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Đầu đọc thẻ nhớ mic",,19.5,1.5,Lenovo
Laptop ASUS TUF Gaming F15 FX507VV-LP304W,I7-13620H/32GB/1TB PCIE/VGA 8GB RTX4060/15.6 FHD 144HZ/WIN11/XÁM,31490000.0,32990000.0,NVIDIA GeForce RTX 4060 8GB GDDR6 Intel Iris Xe Graphics,32GB,DDR5-4800 SO-DIMM,"2x SO-DIMM (2x 16GB, nâng cấp tối đa 32GB)",1TB PCIe 4.0 NVMe M.2 SSD (Nâng cấp tối đa 2TB),15.6 inches,"Độ sáng 250 nitsĐộ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35%Màn hình chống chóiG-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-13620H 2.4 GHz (24M  Cache, up to 4.9 GHz, 10 cores: 6 P-cores and 4 E-cores)",1x RJ45 LAN  1x Thunderbolt 4 (DisplayPort) 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC) 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 FRL 1x 3.5mm Combo Audio Jack,,24.5,2.3,ASUS
Laptop Dell Inspiron 14 5440 N5440-C5U165W11IBD2,CORE 5-120U/16GB/512GB PCIE/VGA 2GB MX570A/14.0 2.2K/WIN11 + OFFICE/XANH,24690000.0,26490000.0,NVIDIA GeForce MX570A 2GB GDDR6,16GB,DDR5,"2 khe (2x 8GB, nâng cấp tối đa 32GB)",512GB M.2 PCIe NVMe SSD,14 inches,Màn hình chống chói  Hỗ trợ ComfortView Plus,"Pin liền, 4-Cell Battery, 54WHr (Integrated)",Windows 11 Home + Office Home & Student 2021,2240 x 1400 pixels,"Intel Core 5 120U (12MB Cache, 1.40GHz and up to 5.0 GHz)",2x USB 3.2 Gen 1 (5 Gbps) 1x USB 3.2 Gen 2 (10 Gbps) Type-C (Sạc / DisplayPort 1.4) 1x Headset (headphone and microphone combo) 1x HDMI 1.4 1x SD-card,,18.0,1.8,Dell
Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV,I3-1305U/8GB/256GB PCIE/14.0 WUXGA/WIN11/XÁM,9990000.0,,Intel UHD Graphics,8GB,DDR5 Up to 4800 MT/s,2 khe (1 x 8GB) Nâng cấp tối đa 64GB,256GB PCIe NVMe SSD (nâng cấp tối đa 2TB SSD),14 inches,Độ sáng 300 nits Độ phủ màu 45% NTSC,Pin Li-ion 3 cell 58Wh Bộ chuyển đổi 65W PD Type C,Windows 11 Home SL,1920 x 1200 pixels (WUXGA),"Intel Core i3-1305U (5 lõi / 6 luồng, 3.3 GHz, 4.5 GHz, 10 MB Intel Smart Cache)","1x USB Type-C 3x Cổng USB-A Đầu đọc thẻ MicroSD Cổng HDMI 1.4 hỗ trợ HDCP Giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp",,17.9,1.6,Acer
Laptop MSI Cyborg 15 A12UCX-618VN,I5-12450H/16GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/ĐEN,15790000.0,19990000.0,NVIDIA GeForce RTX 2050 4 GB GDDR6,16GB,DDR5,2x SO-DIMM socket (Nâng cấp tối đa 64GB RAM),SSD 512GB NVMe PCIe,15.6 inches,Tần số quét 144 HzTấm nềnI PSĐộ sáng 250 nitsĐộ phủ màu 45% NTSC,"3 cell, 53.5Whr",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5 12450H (2 GHz - 4.4 GHz, 8 nhân - 12 luồng, 12MB Cache)",1 x HDMI 2.1 (4K@60Hz)1x Type-C USB3.2 Gen1/ DP1.42 X USB 3.2 Gen1 Type-A1x Audio combo jack1x RJ451x DC-in,,22.5,2.0,MSI
Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,U7-155H/16GB/1TB PCIE/VGA 6GB RTX3050/14.0 FHD+ 144HZ/WIN11/XÁM,26990000.0,30990000.0,NVIDIA GeForce RTX 3050 6GB,16GB,DDR5-5600 2800(5600)MHz,"2  khe (1 x 16GB, Tối đa 32GB)",1TB NVMe SSD PCIe Gen4,14 inches,Màn hình chống chóiĐộ phủ màu 100%sRGB,4-Cell 90 Whrs,Windows 11 Home,1920 x 1200 pixels (FullHD+),"Intel Core Ultra 7 155H 16 lõi (6 P-cores + 8 E-cores + 2 Low Power E-cores), Max Turbo Frequency 4.8 GHz",1x RJ45 1x Type-C (USB3.2 Gen 2 / DisplayPort/ Power Delivery 3.1) 1x Type-A USB3.2 Gen 2 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz)1x Mic-in/Headphone-out Combo Jack,Intel AI Boost,16.0,1.6,MSI
Laptop LG Gram 2024 14Z90S-G.AH55A5,U5-125H/16GB/512GB PCIE/14.0 1920x1200 DCI-P3 99%/WIN 11/ĐEN,22990000.0,36290000.0,Intel Arc Graphics,16GB,LPDDR5X 6400MHz Onboard,2 khe (8GB + 8GB),"512GB M.2(2280) Dual SSD slots, Gen 4.0 - trống 1 khe",14 inches,Tỉ lệ 16:10Độ phủ màu DCI-P3 99% Màn hình chống chóiĐộ sáng 350 nit,"72 Wh Li-Ion Phát lại video: 29,5 giờ JEITA 3.0 (Phát lại video) : 14 giờ JEITA 3.0 (Không hoạt động) : 31 giờ",Windows 11 Home,1920 x 1200 pixels (WUXGA),Intel Core Ultra 5 - 125H,"HDMI (4K@60Hz)  2x USB 3.2 GEN1x1: 5G 1x USB4 Gen 3x2 Type C (USB PD & Intel Thunderbolt 4)1x USB3.2 Gen 2x1 Type C (USB PD) 4Pole Headset, US type10/100 with RJ45 adapter (Option)",,11.5,1.2,LG
Laptop HP Pavilion 15-EG3112TU 8U6L9PA,I7-1355U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,20990000.0,25290000.0,Intel Iris Xe Graphics,16GB,DDR4 3200 MHz,2 khe (nâng cấp tối đa 32GB),512 GB SSD M2. PCIe,15.6 inches,,3-cell,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i7 - 1335U (3.70 GHz, up to 5.00 GHz)",1x USB 3.2 Gen 2 2x USB 3.2 Gen 1 1x HDMI,,17.9,1.75,HP
Laptop Dell Vostro 3530 2H1TPI7,I7-1355U/16GB/512GB PCIE/15.6 FHD/WIN11 PRO/ĐEN NHẬP KHẨU CHÍNH HÃNG,18990000.0,20990000.0,Intel Iris Xe Graphics,16GB,DDR4 2666 MHz,"2 khe (2x 8GB, tối đa 16GB)",512GB SSD (1 Slot SSD Tối đa 1TB),15.6 inches,Góc nhìn rộng (WVA) Độ phủ màu NTSC 45% Màn hình chống chói,"41Wh , 3Cell","Máy nguyên bản Free OS, được tặng Win11 Pro",1920 x 1080 pixels (FullHD),"Intel Core i7-1355U thế hệ thứ 13 / 10 nhân 12 luồng / 1.20 GHz to 5.0GHz, 12MB",1x Đầu nối nguồn 1x HDMI 1.4 1x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe 3.5mm 1x Cổng Lan 1x Type C,,18.0,1.7,Dell
Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MCVN,R7-5825U/16GB/512GB PCIE/15.6 FHD/WIN11/XÁM,14490000.0,16490000.0,AMD Radeon Graphics,16GB,DDR4-3200,Onboard (Không nâng cấp),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)",15.6 inches,Màn hình chống chói,47Wh (Đầu tròn 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"AMD Ryzen 7 5825U (8 lõi / 16 luồng, 2.0 / 4.5GHz, 4MB L2 / 16MB L3)","2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2) 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe/micrô (3.5mm) 1x đầu đọc thẻ 1x đầu nối nguồn",,19.5,1.5,Lenovo
