Title,Information,Price sale,Price origin,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI
Laptop Dell XPS 9500,,Giá Liên Hệ,,Intel UHD 630,8GB,DDR4 bus 2933MHz (Nâng cấp tối đa 64GB),,"SSD 256GB, HDD 0GB M.2 2 NVMe 0",15 inches,Độ phủ màu 100% sRGB  Tần số quét 60 Hz,56 WHr Li-ion,Windows 10,1920 x 1200 pixels (FullHD+),"Intel Core i5 10300H (4 nhân / 8 luồng, 4 GHz)",3x Type-C 1x Jack 3.5 mm 1x Thunderbolt 1x Khe cắm thẻ nhớ SD 1x Khe cắm thẻ nhớ MicroSD,,
Laptop Dell Latitude 5400,,Giá Liên Hệ,,Intel Graphics HD 620,8GB,,2 Thanh RAM hỗ trợ tối đa 32GB,256GB SSD,14 inches,,3 cell,,1920 x 1080 pixels (FullHD),Intel Core i5 - 8365U (1.6GHz upto  4.40GHz),1 x USB 2.0 2 x USB 3.0 1 x VGA 1 x HDMI Card Reader,,
Laptop ASUS ROG Strix SCAR 18 G834JYR-R6199,I9-14900HX/64GB/2TB PCIE/VGA 16GB RTX4090/18.0 2.5K 240HZ/WIN11/ĐEN/BALO/CHUỘT/TAINGHE,Giá Liên Hệ,,NVIDIA GeForce RTX 4090 (686 AI TOPs) 16GB GDDR6Intel UHD Graphics,64GB,DDR5-5600 SO-DIMM,"2x SO-DIMM (2x 32GB, nâng cấp tối đa 64GB)",2TB (1TB + 1TB PCIe 4.0 NVMe M.2 SSD (RAID 0))2x DDR5 SO-DIMM 2x M.2 PCIe,18 inches,Độ sáng 1100nitsĐộ phủ màu DCI-P3 100.00%Màn hình chống chóiG-SyncROG Nebula HDR DisplayDolby Vision HDR,"90WHrs, 4S1P, 4-cell Li-ion",Windows 11,2560 x 1600 (WQXGA),"Intel Core i9 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 lõi, 32 luồng)","1x 2.5G LAN  1x Thunderbolt 4 (DisplayPort / G-SYNC) (40Gbps) 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC) (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL 1x Giắc cắm âm thanh kết hợp 3.5mm, Micrô mảng tích hợp",,
MacBook Air 15 inch M3 16GB - 1TB 2024 Sạc 70W | Chính hãng Apple Việt Nam,,47.990.000đ,49.990.000đ,GPU 10 lõi Neural Engine 16 lõi,16GB,,,1TB,15.3 inches,True ToneĐộ sáng 500 nitHỗ trợ một tỷ màu Dải màu rộng (P3),Pin Li-Po 66.5 watt-giờ,MacOS,2880 x 1864 pixels,Apple M3 8 Lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện,Cổng MagSafe 3  Jack cắm tai nghe 3.5 mm  Hai cổng Thunderbolt / USB 4,
Laptop HP Probook 440 G9,,Giá Liên Hệ,,Intel Iris Xe Graphics,8GB,DDR4 3200 MHz,"1 khe, hỗ trợ RAM tối đa 32GB",SSD 512GB,14 inches,"14.0 inch, 1920 x 1080 Pixels, IPS, 250 nits, Anti-glare WLED-backlit, 	45% NTSC","51 Wh, 65 W",Windows 11,1920 x 1080 pixels (FullHD),Intel Core i5 1235U,1 x Card reader1 x HDMI1 x Jack 3.5 mm1 x Type C2 x USB 2.0,
Laptop Dell Latitude E7250,,Giá Liên Hệ,,Intel HD Graphics,8GB,DDR3,,256 GB SSD,12.5 inches,,,Windows 10 Pro,,"Intel Core i5 5300U, 2.3 GHz",,
Laptop Lenovo Thinkpad P51,,Giá Liên Hệ,,NVIDIA Quadro M2200,64GB,DDR4 (2400 MHz),4 khe SODIMM,1 TB PCIe SSD,15.6 inches,Độ sáng 300 nitsChống chói, 6Cell - 90Wh,Windows 10 Pro 64-bit,3840 x 2160 pixels,"Intel Core i7-7820HQ (2.90 GHz, 8MB Cache, 4 Cores)","4x USB 3.0 1x HDMI 1.4 1x Mini DP 1.2 Intel Thunderbolt 3 1x RJ 45 Gigabit Ethernet 1x Đầu nối đế cắm 1x Đầu đọc thẻ 4 trong 1 (SD, SDHC, SDXC, MMC) 1x ExpressCard / 34 mm 1x Headphone/mic combo jack",
Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001RVN,U5-125H/16GB/512GB PCIE/16.0 2K OLED 120HZ/WIN11/XÁM,22.990.000đ,24.990.000đ,Intel Arc Graphics,16GB,Onboard LPDDR5x-7467,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Nâng cấp tối đa 1TB),16 inches,DisplayHDR True Black 500 Độ sáng tối đa: 400nits Độ phủ màu 100% DCI-P3,57Wh,Windows 11 Home Single Language,2048 x 1280 pixels,"Intel core Ultra 5 125H (14 nhân / 18 luồng, up to 4.5 GHz, 18MB cache)",2x USB-A 2x USB-C 1x HDMI 1x Jack cắm tai nghe 1x Đầu đọc thẻ nhớ SD,
Mac mini M4 Pro 2024 12CPU 16GPU 64GB 1TB Ethernet 10 Gigabit | Chính hãng Apple Việt Nam,,Giá Liên Hệ,,GPU 16 lõi,64GB,,,1TB ,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 5Đầu ra video màn hình HDMI,,macOS,,Apple M4 Pro 12 lõi với 8 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3 Jack cắm tai nghe 3,5 mmMặt sau:  Cổng Gigabit Ethernet 10 GigabitCổng HDMIThunderbolt 5 USB 4 DisplayPort",
Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN,RYZEN AI 7 350/32GB/1TB PCIE/14.0 WUXGA/WIN11/XÁM,26.490.000đ,26.990.000đ,AMD Radeon 860M Graphics,32GB,DDR5-5600,"2 khe (2 x 16GB SO-DIMM DDR5-5600, tối đa 32GB)","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD lên đến 1TB)",14 inches,Độ sáng 400nits Glossy Độ phủ màu 100% DCI-P3 DisplayHDR True Black 500           ,60Wh (65W USB-C Slim (Wall-mount)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen AI 7 350 (8 lõi / 16 luồng, 2.0 / 5.0GHz, 8MB L2 / 16MB L3)","1x USB-A (5Gbps / 3.2 Gen 1) 1x USB-A (5Gbps /  3.2 Gen 1), Luôn bật 2x USB-C (10Gbps / 3.2 Gen 2), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ nhớ microSD","AMD Ryzen AI, up to 50 TOPS"
Laptop Lenovo ThinkPad E16 GEN 1 21JN006GVN,I7-1355U/16GB/512GB PCIE/16.0 WUXGA/WIN11/ĐEN,Giá Liên Hệ,,Intel Iris Xe Graphics,16GB,DDR4-3200,"2 khe (8GB Onboard + 8GB SO-DIMM DDR4-3200, nâng cấp tối đa 40 GB)",512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Hỗ trợ nâng cấp tối đa đến 1TB),16 inches,Độ sáng tối đa: 300nits Màn hình chống chói Độ phủ màu 45% NTSC ,47Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel core i7-1355U (10 nhân/12 luồng, up to 5.0 GHz, 12MB cache)",1x USB 2.0 1x USB-C 3.2 Gen 2 1x Thunderbolt 4 1x HDMI 1x Ethernet 1x Jack cắm tai nghe,
Mac mini M4 2024 10CPU 10GPU 32GB 256GB | Chính hãng Apple Việt Nam,,24.990.000đ,26.990.000đ,GPU 10 lõi,32GB,,,256GB ,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3 Jack cắm tai nghe 3,5 mmMặt sau:  Cổng Gigabit Ethernet  Cổng HDMIThunderbolt 4USB 4DisplayPort",
Laptop Gigabyte G5 KF5-53VN383SH,I5-13500H/8GB/512GB PCIE/VGA 8GB RTX4060/15.6 FHD 144HZ/WIN11/ĐEN,22.490.000đ,26.290.000đ,NVIDIA Geforce RTX 4060 6GB GDDR6,8GB,DDR5 4800Mhz,2 khe (Nâng cấp tối đa 64GB),512GB SSD PCIe Gen4x4 Slot (1 khe PCIe 3.0),15.6 inches,,54WHrs,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-13500H (12 lõi/ 16 luồng, 4.70 GHz, 18 MB)",1x USB 2.0 (Type-A) 1x USB3.2 Gen1 (Type-A) 2x USB3.2 Gen2 (Type-C) 1x Mini DisplayPort 1.4 1x Cổng ra HDMI I (with HDCP) 1x Audio combo jack 1x Microphone jack 1x Đầu đọc thẻ SD,
Laptop ASUS ExpertBook P1 P1503CVA-I5SE16-63WS,I5-13500H/16GB/512GB PCIE/15.6 FHD/WIN 11 + OFFICE/XÁM,Giá Liên Hệ,,Intel UHD Graphics,16GB,DDR5 SO-DIMM,"2 khe DDR5 SO-DIMM (Có thể nâng cấp tối đa 64GB, cần tháo vỏ dưới/trên)",512GB M.2 2280 NVMe PCIe 4.0 SSD,15.6 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu NTSC: 45%Góc nhìn 170/170,"63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home Microsoft Office Home 2024 Microsoft 365 Basic,1920 x 1080 pixels (FullHD),"Intel Core i5-13500H 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 lõi, 16 luồng)","2x USB 3.2 Gen 1 Type-A 2x USB 3.2 Gen 2 Type-C (display / sạc) 1x HDMI 1.4, up to 3840x2160p/30Hz 1x 3.5mm Combo Audio Jack 1x RJ45 Gigabit Ethernet",
Laptop HP Elitebook 840 G9,,Giá Liên Hệ,,Intel UHD Graphics,16GB,DDR5 2 khe,2 Thanh RAM hỗ trợ tối đa lên 64GB,512 GB SSD NVMe PCIe,14 inches,45% NTSC Chống chói Anti Glare 250 nits, 51 Wh 3-cell Li-ion, Windows 11 Pro,1920 x 1200 pixels (WUXGA),"Intel Core i7 1260P (2.1 GHz, up to 4.7 GHz, 12 nhân/ 16 luồng, 18MB Cache)",2 x Thunderbolt 4 with USB-C 1 x Jack tai nghe 3.5 mm 1 x HDMI 2 x SuperSpeed USB A  1 x Khe đọc thẻ nhớ,
Laptop MSI Katana 15 B13UDXK-2270VN,I5-13500H/8GB/1TB PCIE/VGA 6GB RTX3050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,20.990.000đ,23.990.000đ,NVIDIA GeForce RTX 3050 6GBIntel Iris Xe Graphics,8GB,DDR5-5200,"2 khe (máy nguyên bản 8GB, được tặng 8GB, nâng cấp tối đa 64GB)",1TB SSD,15.6 inches,Màn hình chống chói,3-Cell,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-13500H (2.6GHz,12 lõi (4 P-cores + 8 E-cores), Max Turbo Frequency 4.7 GHz)",2 x Type-A USB3.2 Gen1 1 x Type-A USB2.0 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz),
Laptop Dell Inspiron 7425,,Giá Liên Hệ,,AMD Radeon Graphics,8GB,DDR4 3200MHz,1 thanh RAM 8GB,512GB M.2 PCIe NVMe SSD,14 inches,"Độ phủ màu 65,5%sRGB",54WHr 4-Cell,Windows 11 Home bản quyền,1920 x 1200 pixels (FullHD+),"AMD Ryzen 5-5625U (2.30GHz up to 4.30GHz, 16MB Cache)",1 x USB Type A  2 x USB Type C display-port 1 x HDMI 1 x Jack cắm tai nghe 3.5mm  1 x Đầu đọc thẻ SD,
Laptop Dell XPS 15 7590,,Giá Liên Hệ,,Intel UHD 630,8GB,DDR4 bus 2666MHz (Nâng cấp tối đa 64GB),2 khe,"SSD 256GB, HDD 0GB M.2 1 NVMe 0",15 inches,Độ phủ màu 98% sRGB  Tần số quét 60 Hz,57 WHr Li-ion,Windows 10,1920 x 1080 pixels (FullHD),"Intel Core i5 9300H (4 nhân / 8 luồng, 4 GHz)",1x Type-C  1x Jack 3.5 mm 1x Thunderbolt 1x Khe cắm thẻ nhớ SD 1x Khe cắm thẻ nhớ MicroSD,
Laptop Gigabyte G5 MD-51S1123SH,I5-11400H/16GB/512GB PCIE/VGA 4GB RTX3050TI/15.6 IPS 144HZ/WIN10/ĐEN,Giá Liên Hệ,,NVIDIA GeForce RTX 3050 Ti 4 GB  Intel UHD Graphics,16GB,"16 GB, DDR4, 3200 MHz",,SSD 512 GB NVMe PCIe,15.6 inches,Chống chói Anti Glare,4 Cell 150 W,Windows 11 ,1920 x 1080 pixels (FullHD),Intel Core i5 11400H,1 x Card reader  1 x DC-in jack  1 x HDMI  1 x Jack 3.5 mm  1 x LAN  1 x Type C   1 x USB 2.0  2 x USB 3.2  1 x Mini DisplayPort,
Laptop Gigabyte G5 KE-52VN263SH,I5-12500H/8GB/512GB PCIE/VGA 6GB RTX3060/15.6 FHD 144HZ/WIN11/ĐEN,Giá Liên Hệ,,NVIDIA GeForce RTX 3060 6GB GDDR6,8GB,DDR4 3200MHz,"2 khe, tối đa 64GB",512GB SSD M.2 PCIE G4x4,15.6 inches,IPS,4 Cell 54WHrs,Windows 11 Home,1920 x 1080 pixels (FullHD),Intel® Core™ i5-12500H 2.5GHz up to 4.5GHz 18MB,1x Thunderbolt™ 4 port (Type C)1x USB 3.2 Gen 2 ports (Type C)1x USB 3.2 Gen 1 port (Type A)1x USB 2.0 port (Type A)1x Mini DP 1.41x HDMI 2.1 (with HDCP)1x 2-in-1 Audio Jack (Headphone / Microphone)1x Microphone Jack1x RJ-4,
Laptop Gigabyte G5 MF5-52VN353SH,I5-13500H/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN,Giá Liên Hệ,,RTX 4050 6GB GDDR6,16GB,DDR5 4800MHz,2 khe (Hỗ trợ tối đa 64GB),512GB SSD M.2 NVMe,15.6 inches,,"54 Wh, Pin liền",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-13500H (18MB Cache, 2.6 GHz up to 4.7 GHz, 12 lõi / 16 luồng)",1 x HDMI1 x Mini DisplayPort2 x USB Type C1 x USB 3.21 x USB 2.01 x Thẻ SD2 x Jack cắm tai nghe 1 x Cổng RJ-45 LAN,
Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R6NA,R7-8845HS/16GB/512GB PCIE/VGA 6GB RTX4060/16.0 WUXGA 165HZ/WIN11/ĐEN,32.990.000đ,34.990.000đ,NVIDIA GeForce RTX 4060 8GB GDDR6 VRAM,16GB,DDR5 5600 MT/s,"2 khe (1x16GB, nâng cấp tối đa 32GB)","512GB PCIe NVMe SSD, 2 khe SSD (Up to 2TB PCIe Gen4 NVMe SSD)",16 inches,Độ sáng 300nitsĐộ phủ màu 100% sRGBAcer ComfyVie Màn hình LCD TFT có đèn nền LED Góc nhìn rộng lên đến 170 độ,57Whr 4-cell Adapter: 135W AC adapter,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"AMD Ryzen 7 8845HS (8 lõi, 16 luồng, 3.8 GHz, 5.1 GHz, 8 MB L2 cache, up to 16 MB L3 cache)","1x USB Type-C  2x USB Standard A  1x Cổng HDMI 2.1 hỗ trợ HDCP 1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp 1x Cổng Ethernet (RJ-45) 1x Giắc cắm DC-in cho bộ đổi nguồn AC",
iMac M3 24 inch 8CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,,Giá Liên Hệ,,GPU lên đến 10 lõi,16GB,,,512GB,24 inches,Độ sáng 500 nitDải màu rộng (P3)True Tone,,macOS,4480 x 2520 (4.5K),Apple M3 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,"DisplayPortThunderbolt 3 (lên đến 40Gb/s)USB 4 (lên đến 40Gb/s)USB 3.1 Gen 2 (lên đến 10Gb/s)Hỗ trợ Thunderbolt 2, HDMI, DVI và VGA sử dụng bộ tiếp hợp (được bán riêng)",
Laptop Gaming Acer Nitro 5 AN515-45-R6EV NH.QBMSV.006,R5-5600H/16GB/512GB PCIE/VGA 4GB GTX1650/15.6FHD 144Hz/WIN11/ĐEN,Giá Liên Hệ,,NVIDIA GeForce GTX 1650,16GB,"DDR4 3200 MHz, tối đa 32GB",2 khe (1 khe 8 GB + 1 khe rời),SSD 512GB,15.6 inches,"TFT, Tấm nền IPS, LED Backlit, Acer ComfyView, 144 Hz","4-cell Li-ion, 57 Wh",Windows 11 Home SL,1920 x 1080 pixels (FullHD), AMD Ryzen 5 - 5600H,3 x USB 3.2Jack tai nghe 3.5 mmHDMILAN (RJ45)USB Type-C,
Laptop Dell Vostro 5568,,Giá Liên Hệ,,"NVIDIA GeForce 940MX, 2 GB",4GB,DDR4 2400 MHz,,Hỗ trợ khe cắm SSD M.2 SATA3HDD 1 TB SATA 3,15.6 inches,"Chống chói Anti Glare, TrueLife LED-Backlit Display", 3-cell Li-ion,Windows 10 Home SL,1366 x 768 pixels, Intel Core i5 Kabylake - 7200U,3 x USB 3.0HDMILAN (RJ45)USB 2.0VGA (D-Sub),
Laptop Lenovo IdeaPad Slim 3 15IAH8 83ER000BVN,I5-12450H/8GB/512GB PCIE/15.6 FHD/WIN11/XÁM,Giá Liên Hệ,,Intel UHD Graphics,8GB,LPDDR5-4800 Onboard,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,15.6 inches,Màn hình chống chóiĐộ sáng 300nits, 3 cell 47Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-12450H (8 lõi (4P + 4E) / 12 luồng, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 18MB)","1x Đầu đọc thẻ1x HDMI 1.41x Headphone / microphone combo jack (3.5mm) 1x Đầu nối nguồn 1x USB-C 3.2 Gen 1 (Truyền dữ liệu, sạc, Display Port 1.2)2x USB 3.2 Gen 1",
Laptop HP ENVY X360 13-BF0092TU 76V59PA,I7-1250U/8GB/512GB PCIE/13.3 2.8K/CẢM ỨNG/BÚT/WIN11/XANH,Giá Liên Hệ,,Intel Iris Xe Graphics,8GB,LPDDR4x 4266MHz,,512 GB PCIe Gen4 NVMe TLC M.2 SSD,13.3 inches,Hỗ trợ cảm ứng đa điểmUWVAMàn hình tràn viềnMicro-edgeCorning Gorilla Glass NBTGiảm ánh sáng xanhSDR 400 nitsHDR 500 nitsĐộ phân giải 100% DCI-P3,"66 Wh Li-ion, 4-cell",Windows 11 Home 64,2880 x 1800 pixels,"Intel Core i7-1250U (12MB Cache, up to 4.7 GHz, 10 lõi / 12 luồng)",2 X Thunderbolt 42 X USB Type-A1 X Jack cắm tai nghe1 X Đầu SD,
Laptop Alienware X14 R1,,Giá Liên Hệ,,NVIDIA GeForce RTX 3050Ti 4GB GDDR6Intel Iris Xe,16GB,LPDDR5 4800MHz MHz,,"512GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất",14 inches,"WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, low blue light","6-cell, 80.5Wh",Windows 11,1920 x 1080 pixels (FullHD),"Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)",1 x USB 3.2 Gen 2 Type-C với chức năng DisplayPort 1.4 và Power DeliveryJack tai nghe tiêu chuẩnCổng HDMI 2.11 x USB 3.2 Gen 1 type A có thêm tính năng sạc thiết bị ngoại vi PowerShare2 x Thunderbolt,
Laptop Dell Latitude 5520,,Giá Liên Hệ,,Intel Iris Xe,8GB,DDR4 3200MHz,1 Thanh RAM,256GB M.2 PCIe NVMe,15.6 inches,Chống chói Độ sáng tối đa 250 Nits,63Whr 4 cell,,1920 x 1080 pixels (FullHD),"Intel Core i5 - 1145G7 (upto 4.40GHz, 4 nhân/ 8 luồng, 8MB Cache)",2 x USB 3.2 Gen 1 2 x Thunderbolt 4 1 x HDMI/VGA 1 x HDMI 1 x Cổng âm thanh đa năng1 x Thẻ SD,
Laptop Dell XPS 13 9300,,Giá Liên Hệ,,Intel UHD G1,8GB,8GB LPDDR4X bus 3733MHz (Nâng cấp tối đa 8GB),,SSD 256GB M.2 1,13 inches,Độ phủ màu 100% sRGB  Tần số quét 60 Hz,51WHr,Windows 10,1920 x 1200 pixels (FullHD+),"Intel Core i5 1035G1, 4 nhân, 8 luồng",2x Type-C 1x Thunderbolt 1x Khe cắm thẻ nhớ MicroSD,
MacBook Pro 16 M4 Pro 14CPU 20GPU 24GB 512GB Nano | Chính hãng Apple Việt Nam,,68.790.000đ,63.790.000đ,20 lõiNeural Engine 16 lõi,24GB,,,512GB ,16.2 inches,"Màn hình Nano-textureMàn hình Liquid Retina XDR XDR (Extreme Dynamic Range) Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR) 1 tỷ màu Dải màu rộng (P3) Công nghệ True Tone",Pin Li-Po 100 watt-giờ Thời gian xem video trực tuyến lên đến 24 giờ Thời gian duyệt web trên mạng không dây lên đến 17 giờ,macOS,3456 x 2234 pixels ,Apple M4 Pro 14 lõi với 10 lõi hiệu năng và 4 lõi tiết kiệm điện,"Khe thẻ nhớ SDXC Cổng HDMI Jack cắm tai nghe 3.5 mm Cổng MagSafe 3 Ba cổng Thunderbolt 5 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 5 (lên đến 120Gb/s), Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",
Laptop Dell Alienware M16,,Giá Liên Hệ,,"NVIDIA® GeForce RTX™ 4050, 6 GB GDDR6",16GB,DDR5 4800 MHz,2 x khe 8GB,"512GB, M.2, PCIe NVMe, SSD",16 inches,"16"" QHD+ (2560 x 1600) 165Hz, 3ms, ComfortView Plus, NVIDIA G-SYNC + DDS, 100% sRGB","6 Cell, 86 Wh","Windows 11 Home, tiếng Anh, tiếng Pháp, tiếng Tây Ban Nha",2560 x 1600 pixels (2K),"Intel® Core™ i7-13650HX thế hệ thứ 13 (bộ nhớ đệm 24 MB, 14 lõi, 20 luồng, Turbo lên đến 4,90 GHz)","2 Cổng Type-C (Khả năng Thunderbolt™ 4.0, USB 4 Gen 2, DisplayPort 1.4 và 15W Power Delivery (3A/5V))1 USB Type-A 3.2 Gen 11 HDMI 2.1 Cổng đầu ra1 Mini DisplayPort 1.41 Nguồn/DC -in port1 RJ-45 Ethernet Port1 USB 3.2 Gen 1 Type-A v",
Laptop Dell Alienware M15 R7,,Giá Liên Hệ,,NVIDIA GeForce RTX 3060,16GB,DDR5 4800MHz,2 thanh RAM hỗ trợ tối đa lên đến 64GB," SSD 512GB (M.2, PCIe)",15.6 inches,Tốc độ phản hồi 3ms Advanced Optimus  NVIDIA G-SYNC  Tấm phủ Matte,,Windows 11,1920 x 1080 pixels (FullHD),"Intel Core i7 12700H 2.1GHz (14lõi /20 luồng, 24MB cache)",3 x USB Type-A 3.2 Gen 1 1 x Cổng Type-C 1 x HDMI 1 x Power DC In 1 x RJ-45 Realtek RTL8111H-CG 1Gbps Ethernet port 1 x Jack cắm tai nghe,
Laptop ASUS ExpertBook B1 B1402CVA-NK0062W,I5-1335U/8GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,Giá Liên Hệ,,Intel UHD Graphics,8GB,DDR4 Onboard,,512GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,LED Backlit Độ sáng 250nits Độ phủ màu NTSC: 45% Góc nhìn (H/V) 90/65 Thời gian phản hồi (Typ/Max) (ms) 10/20 Độ tương phản 500:1 Màn hình 16:9Màn hình chống chói,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1335U (1.3 GHz, 12M Cache, up to 4.6 GHz, 10 lõi)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C  1x USB 3.2 Gen 2 Type-C  1x HDMI 1x Jack cắm âm thanh 1x RJ45 Gigabit Ethernet,
iMac M4 2024 24 inch 8CPU 8GPU 24GB 512GB | Chính hãng Apple Việt Nam,,44.990.000đ,49.990.000đ,GPU 8 lõi,24GB,,,512GB,24 inches,Màn hình Retina 4.5K1 tỷ màuĐộ sáng 500 nitDải màu rộng (P3)Công nghệ True Tone,,macOS,4480 x 2520 (4.5K),Apple M4 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,2x Thunderbolt 4 (lên đến 40Gb/s)USB 4 (lên đến 40Gb/s)USB 3.1 Gen 2 (lên đến 10Gb/s)DisplayPortJack cắm tai nghe 3.5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao,
MacBook Air M3 15 inch 2024 24GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam,,35.990.000đ,42.990.000đ,GPU 10 lõi,24GB,,,512GB SSD,15.3 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,
Laptop Vaio FE 15 VWNC51527-BL,I5-1235U/8GB/512GB PCIE/15.6 FHD/WIN11/BẠC/NHẬP KHẨU CHÍNH HÃNG,Giá Liên Hệ,,Intel Iris Xe Graphics,8GB,LPDDR4x 4266 MHz Onboard,,512GB PCIe SSD,15.6 inches,Viền mỏng,10 giờ,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (Up to 4.40 GHz, 12M Cache)","1x HDMI 1x Network (LAN)1x USB Type-C/ USB power delivery, DisplayPort, Thunderbolt 42x USB 3.11x USB 2.01x Tai nghe + Micrô Loa tích hợp x 2",
Laptop Lenovo Legion Slim 5 16IRH8 82YA00BUVN,I7-13700H/16GB/512GB PCIE/VGA 8GB RTX4060/16.0 WQXGA 165HZ/WIN11/XÁM,39.990.000đ,43.990.000đ,NVIDIA GeForce RTX 4060,16GB,GDDR5 5200MHz,2 thanh RAM 8GB SO-DIMM DDR5-5200,"512GB PCIe SSD1 Khe SSD M.2 2280 trống, tối đa 1TB",16 inches,Công nghệ đồng bộ khung hình Độ sáng tối đa 300 nits Độ phủ màu 100% sRGB Màn hình chống chói Ánh sáng xanh dương thấp,80Wh,Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core i7-13700H 2.4 GHz (Up to 5.0 GHz, 14 lõi / 20 luồng, 24 MB Cache)","1x USB 3.2 thế hệ thứ 21x USB 3.2 Gen 2(Always On)1x USB-C 3.2 Gen 21x USB-C 3.2 Gen 2 và DisplayPort 1.41x HDMI1x Đầu đọc thẻ 1x 1x Ethernet 1x Giắc cắm kết hợp tai nghe / micrô (3,5 mm) 1x Đầu nối nguồn",
Laptop HP Elitebook 840 G6,,Giá Liên Hệ,,Intel UHD 620,8GB,DDR4 2660MHz,,SSD M2 256GB NVMe,14 inches,,,Windows 10 Pro,1920 x 1080 pixels (FullHD),"Intel Core i5 8365U (1.6GHz, Upto 4.1GHz, 4 lõi / 8 luồng, 6MB Cache)",2x USB 3.0 1x USB 3.1 Type-C 1x LAN 1x HDMI 1x SD Card,
